"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc"
"F(p1)","build/bin/ltl2dpa %f >%O","ok",0,0.621213,2,3,4,2,2,0,0,1,400,8272,3
"!(F(p1))","build/bin/ltl2dpa %f >%O","ok",0,0.566612,1,1,1,2,1,0,0,0,200,2055,2
"(F(p1)) & (F(p2))","build/bin/ltl2dpa %f >%O","ok",0,0.721915,4,9,16,2,4,0,0,1,798,16533,5
"!((F(p1)) & (F(p2)))","build/bin/ltl2dpa %f >%O","ok",0,0.87129,3,5,7,2,3,0,0,0,598,7367,4
"(F(p1)) & (F(p2)) & (F(p3))","build/bin/ltl2dpa %f >%O","ok",0,0.808946,8,27,64,2,8,0,0,1,1587,33068,34
"!((F(p1)) & (F(p2)) & (F(p3)))","build/bin/ltl2dpa %f >%O","ok",0,0.83296,7,19,37,2,7,0,0,0,1387,18792,33
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","build/bin/ltl2dpa %f >%O","ok",0,0.946562,16,81,256,2,16,0,0,1,2727,57786,74
"!((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))","build/bin/ltl2dpa %f >%O","ok",0,0.856681,15,65,175,2,15,0,0,0,2527,37226,73
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","build/bin/ltl2dpa %f >%O","ok",0,1.17576,32,243,1024,2,32,0,0,1,5330,114068,350
"!((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))","build/bin/ltl2dpa %f >%O","ok",0,1.08596,31,211,781,2,31,0,0,0,5130,82897,349
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6))","build/bin/ltl2dpa %f >%O","ok",0,1.71414,64,729,4096,2,64,0,0,1,8941,188628,804
"!((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6)))","build/bin/ltl2dpa %f >%O","ok",0,1.36445,63,665,3367,2,63,0,0,0,8741,145021,803
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6)) & (F(p7))","build/bin/ltl2dpa %f >%O","ok",0,2.33199,128,2187,16384,2,128,0,0,1,14166,296561,1641
"!((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6)) & (F(p7)))","build/bin/ltl2dpa %f >%O","ok",0,1.54696,127,2059,14197,2,127,0,0,0,13966,236825,1640
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6)) & (F(p7)) & (F(p8))","build/bin/ltl2dpa %f >%O","ok",0,4.35471,256,6561,65536,2,256,0,0,1,16064,331731,1976
"!((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)) & (F(p6)) & (F(p7)) & (F(p8)))","build/bin/ltl2dpa %f >%O","ok",0,2.50097,255,6305,58975,2,255,0,0,0,15864,263802,1975
