"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc"
"G(F(p1))","build/bin/ltl2dpa %f >%O","ok",0,0.571114,1,2,2,3,1,0,0,1,200,4136,1
"!(G(F(p1)))","build/bin/ltl2dpa %f >%O","ok",0,0.578883,1,2,2,2,1,0,0,1,400,8246,3
"(G(F(p1))) | (G(F(p2)))","build/bin/ltl2dpa %f >%O","ok",0,0.58814,1,2,4,3,1,0,0,1,200,4144,1
"!((G(F(p1))) | (G(F(p2))))","build/bin/ltl2dpa %f >%O","ok",0,0.635314,1,2,4,2,1,0,0,1,398,6231,3
"(G(F(p1))) | (G(F(p2))) | (G(F(p3)))","build/bin/ltl2dpa %f >%O","ok",0,0.60235,1,2,8,3,1,0,0,1,200,4167,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))))","build/bin/ltl2dpa %f >%O","ok",0,0.663158,1,2,8,2,1,0,0,1,389,5135,25
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4)))","build/bin/ltl2dpa %f >%O","ok",0,0.609287,1,2,16,3,1,0,0,1,200,4235,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))))","build/bin/ltl2dpa %f >%O","ok",0,0.661484,1,2,16,2,1,0,0,1,348,4710,146
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5)))","build/bin/ltl2dpa %f >%O","ok",0,0.663587,1,2,32,3,1,0,0,1,200,4269,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))))","build/bin/ltl2dpa %f >%O","ok",0,0.695109,1,2,32,2,1,0,0,1,302,4469,103
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6)))","build/bin/ltl2dpa %f >%O","ok",0,0.697412,1,2,64,3,1,0,0,1,200,4219,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))))","build/bin/ltl2dpa %f >%O","ok",0,0.749886,1,2,64,2,1,0,0,1,255,4308,56
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7)))","build/bin/ltl2dpa %f >%O","ok",0,0.789332,1,2,128,3,1,0,0,1,200,4191,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7))))","build/bin/ltl2dpa %f >%O","ok",0,0.902968,1,2,128,2,1,0,0,1,228,4225,29
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7))) | (G(F(p8)))","build/bin/ltl2dpa %f >%O","ok",0,0.979911,1,2,256,3,1,0,0,1,200,4135,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7))) | (G(F(p8))))","build/bin/ltl2dpa %f >%O","ok",0,1.45345,1,2,256,2,1,0,0,1,215,4151,16
"(G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7))) | (G(F(p8))) | (G(F(p9)))","build/bin/ltl2dpa %f >%O","ok",0,1.96546,1,2,512,3,1,0,0,1,200,4148,1
"!((G(F(p1))) | (G(F(p2))) | (G(F(p3))) | (G(F(p4))) | (G(F(p5))) | (G(F(p6))) | (G(F(p7))) | (G(F(p8))) | (G(F(p9))))","build/bin/ltl2dpa %f >%O","ok",0,2.40412,1,2,512,2,1,0,0,1,209,4157,10
