input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating,,,
data/automatons/genaut.hoa:1.1-20.7,,2,4,7,9,1,1,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,3.20256,2,6,18,24,3,2,0,0,0,60.8000705536,,16996.3369
data/automatons/genaut.hoa:21.1-48.7,,2,7,12,16,1,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,3.56552,2,100,357,400,13,3,0,0,0,55.2714928704,,1322.7769
data/automatons/randaut.hoa:1.1-127.7,,3,45,73,73,0,4,2,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.76575,3,56,142,448,2,14,0,0,0,67.8028730625,,6459.3369
data/automatons/randaut.hoa:128.1-201.7,,1,26,39,39,0,3,7,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.968759,1,36,71,72,2,6,0,0,0,100.6257960001,,10074.1369
data/automatons/randaut.hoa:202.1-339.7,,2,52,77,77,0,2,4,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.41658,2,58,144,232,2,4,0,0,0,91.8419388964,,6141.8569
data/automatons/randaut.hoa:340.1-458.7,,3,44,66,66,0,4,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.23931,3,47,116,376,2,6,0,0,0,76.7496892761,,7986.9969
data/automatons/randaut.hoa:459.1-573.7,,3,42,64,64,0,1,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.22954,3,45,114,360,2,3,0,0,0,76.9209686116,,8348.4769
data/automatons/randaut.hoa:574.1-748.7,,1,63,103,103,0,6,21,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,6.6681,1,264,527,528,2,15,0,0,0,18.76535761,,16289.4169
data/automatons/randaut.hoa:749.1-890.7,,3,51,82,82,0,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.49488,3,53,137,424,2,3,0,0,0,72.3370662144,,6950.5569
data/automatons/randaut.hoa:891.1-1068.7,,2,60,109,109,0,1,11,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,3.18326,2,99,290,396,2,3,0,0,0,61.1014242276,,1396.5169
