"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/genaut.hoa:1.1-20.7",,2,4,7,9,1,1,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.839401,2,6,18,24,3,2,0,0,0
"data/automatons/genaut.hoa:1.1-20.7",,2,4,7,9,1,1,1,1,0,"autfilt","ok",0,0.0303209,2,4,7,9,1,1,1,1,0
"data/automatons/genaut.hoa:21.1-48.7",,2,7,12,16,1,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.76193,2,100,357,400,13,3,0,0,0
"data/automatons/genaut.hoa:21.1-48.7",,2,7,12,16,1,1,3,1,0,"autfilt","ok",0,0.00510403,2,7,12,16,1,1,3,1,0
"data/automatons/randaut.hoa:1.1-127.7",,3,45,73,73,0,4,2,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.18438,3,56,142,448,2,14,0,0,0
"data/automatons/randaut.hoa:1.1-127.7",,3,45,73,73,0,4,2,1,0,"autfilt","ok",0,0.00519717,3,45,73,73,0,4,2,1,0
"data/automatons/randaut.hoa:128.1-201.7",,1,26,39,39,0,3,7,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.03844,1,36,71,72,2,6,0,0,0
"data/automatons/randaut.hoa:128.1-201.7",,1,26,39,39,0,3,7,1,0,"autfilt","ok",0,0.00572215,1,26,39,39,0,3,7,1,0
"data/automatons/randaut.hoa:202.1-339.7",,2,52,77,77,0,2,4,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.29607,2,58,144,232,2,4,0,0,0
"data/automatons/randaut.hoa:202.1-339.7",,2,52,77,77,0,2,4,1,0,"autfilt","ok",0,0.00519752,2,52,77,77,0,2,4,1,0
"data/automatons/randaut.hoa:340.1-458.7",,3,44,66,66,0,4,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.84121,3,47,116,376,2,6,0,0,0
"data/automatons/randaut.hoa:340.1-458.7",,3,44,66,66,0,4,3,1,0,"autfilt","ok",0,0.00516749,3,44,66,66,0,4,3,1,0
"data/automatons/randaut.hoa:459.1-573.7",,3,42,64,64,0,1,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.07771,3,45,114,360,2,3,0,0,0
"data/automatons/randaut.hoa:459.1-573.7",,3,42,64,64,0,1,1,1,0,"autfilt","ok",0,0.0051286,3,42,64,64,0,1,1,1,0
"data/automatons/randaut.hoa:574.1-748.7",,1,63,103,103,0,6,21,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,6.69371,1,264,527,528,2,15,0,0,0
"data/automatons/randaut.hoa:574.1-748.7",,1,63,103,103,0,6,21,1,0,"autfilt","ok",0,0.00513809,1,63,103,103,0,6,21,1,0
"data/automatons/randaut.hoa:749.1-890.7",,3,51,82,82,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.5105,3,53,137,424,2,3,0,0,0
"data/automatons/randaut.hoa:749.1-890.7",,3,51,82,82,0,1,3,1,0,"autfilt","ok",0,0.00669745,3,51,82,82,0,1,3,1,0
"data/automatons/randaut.hoa:891.1-1068.7",,2,60,109,109,0,1,11,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.77039,2,99,290,396,2,3,0,0,0
"data/automatons/randaut.hoa:891.1-1068.7",,2,60,109,109,0,1,11,1,0,"autfilt","ok",0,0.00750386,2,60,109,109,0,1,11,1,0
"data/automatons/randaut.hoa:1069.1-1244.7",,4,59,108,108,0,2,4,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,10.8357,4,63,183,1008,2,4,0,0,0
