input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating,,
data/automatons/genaut.hoa:1.1-20.7,,2,4,7,9,1,1,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.602581,2,9,18,25,1,5,1,1,0,0.0211466856,3584.4169
data/automatons/genaut.hoa:21.1-48.7,,2,7,12,16,1,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.547889,2,34,82,102,1,9,3,1,0,0.0400444123,1215.9169
data/automatons/randaut.hoa:1.1-127.7,,3,45,73,73,0,4,2,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.583224,3,58,93,93,1,6,2,1,0,0.0271511302,118.1569
data/automatons/randaut.hoa:128.1-201.7,,1,26,39,39,0,3,7,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.73544,1,48,78,78,1,3,6,1,0,0.0001577536,435.5569
data/automatons/randaut.hoa:202.1-339.7,,2,52,77,77,0,2,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.878388,2,56,85,85,1,2,0,0,0,0.0170010305,165.6369
data/automatons/randaut.hoa:340.1-458.7,,3,44,66,66,0,4,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.86943,3,45,68,69,1,4,1,1,0,0.0147452449,569.7769
data/automatons/randaut.hoa:459.1-573.7,,3,42,64,64,0,1,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.765046,3,44,69,69,1,2,0,0,0,0.0002905661,618.5169
data/automatons/randaut.hoa:574.1-748.7,,1,63,103,103,0,6,21,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.38187,1,265,491,491,1,7,26,1,0,0.4017911769,38466.9769
data/automatons/randaut.hoa:749.1-890.7,,3,51,82,82,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.711689,3,50,82,82,1,2,0,0,0,0.0013184887,356.0769
data/automatons/randaut.hoa:891.1-1068.7,,2,60,109,109,0,1,11,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.785438,2,98,200,200,1,2,0,0,0,0.0014016038,848.5569
data/automatons/randaut.hoa:1069.1-1244.7,,4,59,108,108,0,2,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.783865,4,61,118,118,1,2,0,0,0,0.0012862982,61.9369
data/automatons/randaut.hoa:1245.1-1285.7,,3,15,17,17,0,5,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.503019,3,22,26,26,1,6,1,1,0,0.0600156904,2196.7969
data/automatons/randaut.hoa:1286.1-1395.7,,3,36,65,65,0,2,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.521768,3,39,70,70,1,3,0,0,0,0.0511809178,892.2169
data/automatons/randaut.hoa:1396.1-1565.7,,4,51,110,110,0,1,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.593407,4,54,124,124,1,2,0,0,0,0.0238989956,221.1169
data/automatons/randaut.hoa:1566.1-1658.7,,1,30,54,54,0,4,11,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.948059,1,250,479,479,1,4,2,1,0,0.0400236035,32808.0769
data/automatons/randaut.hoa:1659.1-1744.7,,1,28,49,49,0,1,14,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.723353,1,129,231,231,1,4,0,0,0,0.0006074746,3615.6169
data/automatons/randaut.hoa:1745.1-1835.7,,1,29,53,53,0,2,11,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.787207,1,103,201,201,1,3,12,1,0,0.0015371888,1164.8569
data/automatons/randaut.hoa:1836.1-2051.7,,3,59,148,148,0,1,13,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.858904,3,125,414,418,1,2,1,1,0,0.0122996972,3150.5769
data/automatons/randaut.hoa:2052.1-2224.7,,3,51,113,113,0,1,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.848017,3,64,150,151,1,2,0,0,0,0.0100034003,23.7169
data/automatons/randaut.hoa:2225.1-2420.7,,3,58,129,129,0,1,14,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.735691,3,73,172,173,1,2,0,0,0,0.0001515115,17.0569
data/automatons/randaut.hoa:2421.1-2607.7,,4,53,125,125,0,1,10,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.802544,4,63,177,177,1,2,0,0,0,0.0029750479,34.4569
